1;1882.00;10.00;949.00;big
1;5180.00;9.70;1014.00;big
2;4628.00;9.50;878.00;big
2;1297.00;9.50;1116.00;big
3;3696.00;9.70;938.00;big
3;3776.00;9.70;952.00;big
4;3644.00;9.80;968.00;big
4;3616.00;10.20;927.00;big
5;3702.00;9.70;992.00;big
5;3745.00;9.50;1003.00;big
6;3614.00;10.00;1012.00;big
6;3564.00;10.75;1017.00;big
7;3713.00;9.70;1065.00;big
7;3665.00;9.80;1052.00;big
8;3756.00;9.70;1081.00;big
8;3710.00;9.50;1110.00;big
9;3667.00;9.70;1119.00;big
9;3638.00;9.80;1091.00;big
10;3555.00;9.90;1067.00;big
10;3599.00;10.10;1064.00;big
11;3597.00;9.78;1123.00;big
11;3549.00;9.80;1123.00;big
12;3572.00;10.25;1179.00;big
12;3530.00;9.50;1187.00;big
13;3692.00;9.70;1161.00;big
13;3701.00;10.40;1214.00;big
14;3638.00;9.70;1188.00;big
14;3608.00;9.85;1214.00;big
15;3626.00;9.70;1260.00;big
15;3582.00;9.70;1283.00;big
16;3470.00;9.88;1190.00;big
16;3414.00;12.48;1193.00;big
17;3454.00;12.53;1252.00;big
17;3506.00;10.20;1246.00;big
18;3485.00;10.35;1303.00;big
18;3539.00;12.73;1297.00;big
19;3370.00;10.00;1182.00;big
19;3312.00;9.93;1169.00;big
20;3410.00;16.77;1227.00;big
20;3344.00;12.45;1216.00;big
21;3336.00;9.80;1257.00;big
21;3309.00;9.80;1218.00;big
22;3377.00;9.85;1257.00;big
22;3429.00;9.70;1299.00;big
23;3800.00;9.50;998.00;big
23;3762.00;9.50;1115.00;big
24;3932.00;9.50;1017.00;big
24;3897.00;9.50;974.00;big
25;3710.00;9.50;878.00;big
25;3797.00;9.50;970.00;big
26;3794.00;10.00;856.00;big
26;3871.00;9.95;875.00;big
27;3713.00;9.80;816.00;big
27;3748.00;9.73;830.00;big
28;3670.00;9.90;835.00;big
28;3625.00;9.85;823.00;big
29;3667.00;9.78;870.00;big
29;3604.00;9.75;863.00;big
30;3540.00;11.20;912.00;big
30;3569.00;10.35;899.00;big
31;3518.00;11.45;963.00;big
31;3560.00;10.15;951.00;big
32;3511.00;9.80;1075.00;big
32;3500.00;10.73;1004.00;big
33;3486.00;9.73;1104.00;big
33;3453.00;9.95;1140.00;big
34;3407.00;9.80;1121.00;big
34;3369.00;9.80;1072.00;big
35;3465.00;10.20;1045.00;big
35;3411.00;9.95;1013.00;big
36;3559.00;12.10;765.00;big
36;3472.00;9.70;768.00;big
37;3529.00;10.50;864.00;big
37;3557.00;10.68;839.00;big
38;3481.00;12.85;848.00;big
38;3499.00;11.25;816.00;big
39;3394.00;9.78;789.00;big
39;3431.00;9.75;818.00;big
40;3334.00;10.20;879.00;big
40;3368.00;9.70;848.00;big
41;3290.00;10.28;754.00;big
41;3344.00;9.70;723.00;big
42;3271.00;9.75;888.00;big
42;3207.00;9.93;939.00;big
43;3358.00;11.45;972.00;big
43;3321.00;12.75;942.00;big
44;3431.00;11.05;871.00;big
44;3477.00;19.95;904.00;big
45;3466.00;11.88;958.00;big
45;3387.00;11.18;929.00;big
46;3815.00;9.70;1179.00;big
46;3875.00;9.70;1220.00;big
47;3764.00;9.70;1134.00;big
47;3808.00;9.70;1103.00;big
48;3760.00;9.70;1318.00;big
48;3759.00;9.70;1272.00;big
49;3750.00;9.70;1237.00;big
49;3747.00;9.70;1177.00;big
50;3888.00;9.70;1303.00;big
50;3831.00;9.70;1286.00;big
51;3874.00;9.70;1136.00;big
51;3922.00;9.70;1140.00;big
52;3838.00;9.70;1105.00;big
52;3866.00;9.70;1062.00;big
53;3975.00;9.70;1060.00;big
53;3943.00;9.70;1084.00;big
54;3954.00;9.70;917.00;big
54;4004.00;9.98;922.00;big
55;3975.00;10.15;989.00;big
55;3950.00;9.80;983.00;big
56;4033.00;10.38;952.00;big
56;4074.00;10.00;931.00;big
57;4014.00;9.95;1033.00;big
57;4006.00;10.00;986.00;big
58;4058.00;10.00;980.00;big
58;4060.00;10.00;1023.00;big
59;4124.00;10.20;951.00;big
59;4154.00;9.80;1001.00;big
60;4117.00;9.50;1027.00;big
60;4076.00;9.70;1050.00;big
61;4033.00;9.70;1111.00;big
61;4041.00;9.50;1070.00;big
62;4180.00;9.80;1089.00;big
62;4117.00;10.18;1097.00;big
63;3962.00;9.82;1164.00;big
63;3990.00;9.70;1125.00;big
64;3964.00;10.00;1221.00;big
64;3920.00;9.80;1194.00;big
65;4048.00;10.45;1167.00;big
65;4011.00;10.20;1181.00;big
66;4068.00;10.40;1217.00;big
66;4016.00;10.40;1234.00;big
67;4169.00;13.62;1253.00;big
67;4121.00;14.28;1224.00;big
68;4110.00;10.40;1175.00;big
68;4077.00;10.05;1135.00;big
69;4168.00;10.60;1190.00;big
69;4197.00;9.98;1153.00;big
70;4189.00;9.70;1034.00;big
70;4234.00;9.70;997.00;big
71;4257.00;10.00;1140.00;big
71;4275.00;9.80;1113.00;big
72;4291.00;9.70;1085.00;big
72;4258.00;9.70;1049.00;big
73;4235.00;9.80;1094.00;big
73;4216.00;9.80;1132.00;big
74;4148.00;10.00;1308.00;big
74;4109.00;10.03;1283.00;big
75;4083.00;9.80;1342.00;big
75;4108.00;10.00;1319.00;big
76;4024.00;9.80;1287.00;big
76;4063.00;9.80;1285.00;big
77;3989.00;9.80;1329.00;big
77;3962.00;9.80;1286.00;big
78;4032.00;9.80;1329.00;big
78;4024.00;9.80;1378.00;big
79;3930.00;9.70;1350.00;big
79;3970.00;9.80;1386.00;big
80;3889.00;10.05;1409.00;big
80;3878.00;9.80;1362.00;big
81;3827.00;9.78;1351.00;big
81;3805.00;9.70;1387.00;big
82;3751.00;9.70;1459.00;big
82;3814.00;10.40;1431.00;big
83;4308.00;10.20;1460.00;big
